id,Dia,Manera_de_la_muerte,Arma,Edad,Genero,Raza,Ciudad,Estado,Signos_de_enfermedades_mentales,Nivel_de_amenaza,flee,Categoria_de_armas
2910,2017-08-29,shot,gun,46.0,F,White,Watagua,TX,True,other,Not fleeing,Guns
2911,2017-08-30,shot,unarmed,27.0,M,Black,Miami,FL,False,other,Foot,Unarmed
2918,2017-08-30,shot,gun,32.0,M,Native,Sacramento,CA,False,attack,Car,Guns
2912,2017-08-31,shot,gun,22.0,M,Hispanic,Bakersfield,CA,False,attack,Not fleeing,Guns
2913,2017-08-31,shot,gun,54.0,F,White,Fort Myers,FL,False,attack,Not fleeing,Guns
2914,2017-09-01,shot,toy weapon,32.0,M,White,Poultney,VT,True,attack,Not fleeing,Other unusual objects
2915,2017-09-01,shot,unknown,45.0,M,White,Mount Hope,WI,False,other,Foot,Unknown
2916,2017-09-01,shot,knife,36.0,M,White,Pittsfield,MA,True,other,Foot,Sharp objects
2919,2017-09-03,shot,gun,37.0,M,Black,Milwaukee,WI,False,attack,Not fleeing,Guns
2920,2017-09-03,shot,gun,47.0,M,White,Longview,WA,False,other,Not fleeing,Guns
2921,2017-09-03,shot,unarmed,30.0,M,White,Akron,OH,True,attack,Not fleeing,Unarmed
2941,2017-09-03,shot,unknown,31.0,M,Black,Myrtle Beach,SC,False,attack,Car,Unknown
2923,2017-09-04,shot,knife,44.0,M,White,Toledo,OH,False,attack,Not fleeing,Sharp objects
2922,2017-09-04,shot and Tasered,chair,52.0,M,White,Columbus,GA,False,attack,Not fleeing,Other unusual objects
2934,2017-09-05,shot,knife,16.0,M,White,Kendale Lakes,FL,False,attack,Not fleeing,Sharp objects
2931,2017-09-06,shot,gun,29.0,M,Hispanic,Charlotte,NC,False,other,Not fleeing,Guns
2932,2017-09-06,shot,unarmed,42.0,M,White,Los Angeles,CA,False,attack,Not fleeing,Unarmed
2933,2017-09-06,shot,knife,31.0,M,Black,New York,NY,True,other,Not fleeing,Sharp objects
2944,2017-09-07,shot,gun,41.0,M,Black,Sacramento,CA,False,attack,Car,Guns
2942,2017-09-08,shot,gun,45.0,M,White,Amarillo,TX,False,attack,Not fleeing,Guns
2943,2017-09-08,shot,unknown,50.0,M,White,Monett,MO,True,other,Not fleeing,Unknown
2940,2017-09-09,shot,gun,26.0,M,Black,Arcata,CA,False,attack,Not fleeing,Guns
2935,2017-09-10,shot,gun,22.0,M,Hispanic,Youngtown,AZ,False,attack,Not fleeing,Guns
2936,2017-09-10,shot,gun,76.0,M,White,Huntersville,NC,False,attack,Not fleeing,Guns
2937,2017-09-10,shot,gun,58.0,M,Hispanic,Tacoma,WA,False,attack,Not fleeing,Guns
2938,2017-09-10,shot,gun,32.0,M,White,Plano,TX,False,attack,Not fleeing,Guns
2939,2017-09-10,shot,unknown,19.0,M,Hispanic,Chicago,IL,False,attack,Not fleeing,Unknown
2945,2017-09-11,shot,unknown,25.0,M,Native,Great Falls,MT,False,other,Foot,Unknown
2946,2017-09-11,shot,gun,48.0,M,White,Hixson,TN,False,attack,Car,Guns
2947,2017-09-11,shot,toy weapon,39.0,M,Hispanic,Bassett,CA,False,attack,Not fleeing,Other unusual objects
2948,2017-09-13,shot,gun,31.0,M,Hispanic,Quartzsite,AZ,False,attack,Car,Guns
2955,2017-09-14,shot,knife,50.0,M,White,Frametown,WV,False,attack,Not fleeing,Sharp objects
2950,2017-09-15,shot,crowbar,15.0,M,Hispanic,Haymarket,VA,False,other,Not fleeing,Blunt instruments
2954,2017-09-15,shot,unknown,48.0,M,White,Hallandale Beach,FL,True,attack,Car,Unknown
2957,2017-09-15,shot,unarmed,32.0,M,Hispanic,San Jose,CA,False,other,Car,Unarmed
2956,2017-09-16,shot,knife,21.0,M,White,Atlanta,GA,True,other,Not fleeing,Sharp objects
2960,2017-09-17,shot,gun,37.0,M,White,Oak Harbor,WA,True,attack,Not fleeing,Guns
2961,2017-09-17,shot,gun,21.0,M,Black,West Milford,WV,False,attack,Foot,Guns
2958,2017-09-17,shot and Tasered,knife,40.0,M,Hispanic,Los Angeles,CA,False,other,Not fleeing,Sharp objects
2959,2017-09-18,shot,gun,33.0,M,White,Piedmont,AL,True,other,Not fleeing,Guns
2962,2017-09-19,shot,gun and knife,25.0,M,White,Monroe,NC,False,attack,Car,Multiple
2963,2017-09-19,shot,gun,55.0,M,White,Independence,VA,True,attack,Not fleeing,Guns
2964,2017-09-19,shot,unknown,53.0,M,White,Bernice,LA,False,undetermined,Other,Unknown
2967,2017-09-19,shot,knife,27.0,M,White,Chula Vista,CA,True,attack,Not fleeing,Sharp objects
2965,2017-09-20,shot,pipe,35.0,M,Hispanic,Oklahoma City,OK,False,other,Not fleeing,Blunt instruments
2968,2017-09-20,shot,gun,25.0,M,Black,Peoria,IL,True,other,Not fleeing,Guns
2969,2017-09-20,shot,gun,31.0,M,Black,Huntsville,AL,True,attack,Not fleeing,Guns
2970,2017-09-21,shot,gun,70.0,M,White,Boswell,OK,False,attack,Car,Guns
2972,2017-09-21,shot,knife,40.0,M,White,Tacoma,WA,True,other,Not fleeing,Sharp objects
2973,2017-09-21,shot,unknown,25.0,M,Other,Denver,CO,False,other,Car,Unknown
2974,2017-09-21,shot,unknown,38.0,M,Hispanic,Rockwall,TX,False,attack,Car,Unknown
2971,2017-09-22,shot,gun and knife,26.0,M,Hispanic,Oceanside,CA,False,attack,Not fleeing,Multiple
2977,2017-09-22,shot,gun,27.0,M,Other,Huntington Beach,CA,True,attack,Not fleeing,Guns
2979,2017-09-22,shot,unknown,37.11793090137039,M,White,Denver,CO,False,other,Not fleeing,Unknown
2980,2017-09-22,shot,gun,28.0,M,White,Mesa,AZ,True,attack,Not fleeing,Guns
2981,2017-09-22,shot,gun,40.0,M,White,Hattiesburg,MS,False,attack,Not fleeing,Guns
2982,2017-09-22,shot,unknown,44.0,M,White,Brooksville,FL,True,attack,Car,Unknown
2975,2017-09-24,shot,gun,39.0,M,Black,San Francisco,CA,False,other,Not fleeing,Guns
2983,2017-09-24,shot,gun,24.0,M,White,New Castle,IN,False,attack,Foot,Guns
2976,2017-09-25,shot,gun,32.0,M,Black,Palmetto,FL,False,attack,Foot,Guns
2978,2017-09-25,shot,Taser,31.0,M,White,Las Vegas,NV,True,attack,Not fleeing,Electrical devices
2984,2017-09-26,shot,gun,50.0,M,White,Fairview,TN,False,attack,Not fleeing,Guns
2985,2017-09-26,shot,gun,31.0,M,White,Eugene,OR,False,attack,Not fleeing,Guns
2986,2017-09-26,shot,gun,50.0,M,White,Coolin,ID,False,other,Not fleeing,Guns
2987,2017-09-27,shot,gun,45.0,M,Black,Emeryville,CA,False,attack,Car,Guns
2989,2017-09-27,shot,gun,44.0,M,White,Spring Hill,FL,False,attack,Car,Guns
2990,2017-09-27,shot,gun,48.0,M,White,Griffin,GA,True,attack,Not fleeing,Guns
2991,2017-09-28,shot,baton,39.0,M,White,Salt Lake City,UT,False,other,Not fleeing,Blunt instruments
3202,2017-09-28,shot,gun,30.0,M,Native,Topeka,KS,False,attack,Foot,Guns
2992,2017-09-30,shot,gun,44.0,M,White,Columbua,IN,False,attack,Car,Guns
2993,2017-09-30,shot,gun,28.0,M,Black,Palatka,FL,False,other,Not fleeing,Guns
2994,2017-10-01,shot,unknown,24.0,M,Hispanic,Hialeah,FL,False,attack,Car,Unknown
2995,2017-10-01,shot,gun,27.0,M,Black,West Burlington,IA,False,other,Other,Guns
2997,2017-10-01,shot,knife,34.0,M,White,Canton Township,PA,True,other,Not fleeing,Sharp objects
2998,2017-10-01,shot,unarmed,41.0,M,White,Seward,AK,False,other,Car,Unarmed
3000,2017-10-01,shot,gun,26.0,M,White,North Fort Collins,CO,False,attack,Not fleeing,Guns
3022,2017-10-01,shot,gun and sword,38.0,M,White,St. Louis,MO,True,other,Not fleeing,Multiple
2999,2017-10-02,shot,gun,33.0,M,White,Parkton,NC,True,attack,Not fleeing,Guns
3001,2017-10-02,shot,gun,22.0,M,White,West Ouachita,LA,False,other,Foot,Guns
3002,2017-10-03,shot,pipe,40.0,M,White,Jefferson City,MO,False,attack,Not fleeing,Blunt instruments
3011,2017-10-04,shot,unknown,34.0,M,White,Spokane,WA,True,other,Not fleeing,Unknown
3012,2017-10-04,shot,gun,48.0,F,Black,Canandaigua,NY,False,attack,Not fleeing,Guns
3013,2017-10-04,shot,gun,37.0,M,Black,Thomas County,GA,False,attack,Not fleeing,Guns
3021,2017-10-04,shot,gun,67.0,M,White,Mesa,AZ,False,other,Not fleeing,Guns
3009,2017-10-05,shot,unarmed,35.0,M,White,Hiram,GA,False,other,Not fleeing,Unarmed
3014,2017-10-05,shot,knife,29.0,M,Hispanic,Finney County,KS,True,other,Not fleeing,Sharp objects
3015,2017-10-05,shot,gun,28.0,M,Asian,St. Paul,MN,False,attack,Not fleeing,Guns
3018,2017-10-05,shot,gun,40.0,M,White,Leeds,AL,False,attack,Other,Guns
3019,2017-10-05,shot,knife,31.0,M,Hispanic,Brownsville,TX,False,attack,Not fleeing,Sharp objects
3005,2017-10-06,shot,gun,51.0,M,White,Golden,CO,False,attack,Car,Guns
3010,2017-10-06,shot,gun,47.0,M,White,Perryopolis,PA,True,other,Not fleeing,Guns
3017,2017-10-06,shot,gun,52.0,M,Hispanic,Miami,FL,False,other,Foot,Guns
3204,2017-10-06,shot,unknown,28.0,M,Hispanic,Duarte,CA,False,undetermined,Other,Unknown
3016,2017-10-06,shot and Tasered,knife,35.0,M,Hispanic,Orlando,FL,True,attack,Not fleeing,Sharp objects
3023,2017-10-07,shot,gun,25.0,M,White,Charleston,WV,True,attack,Car,Guns
3003,2017-10-08,shot,machete,37.11793090137039,M,Hispanic,Abingdon,VA,False,other,Foot,Sharp objects
3004,2017-10-08,shot,gun,34.0,F,Hispanic,Mesa,AZ,True,undetermined,Foot,Guns
3006,2017-10-08,shot,knife,58.0,M,Hispanic,San Fernando,CA,False,other,Not fleeing,Sharp objects
3007,2017-10-08,shot,gun,24.0,M,Black,Louisville,KY,False,other,Not fleeing,Guns
3008,2017-10-08,shot,unknown,22.0,F,Black,Miami,FL,False,attack,Car,Unknown
3033,2017-10-08,shot,gun,46.0,M,White,Pinetop-Lakeside,AZ,False,attack,Not fleeing,Guns
3025,2017-10-11,shot,unknown,61.0,M,White,Biloxi,MS,False,attack,Car,Unknown
3027,2017-10-11,shot,gun,43.0,M,White,Marana,AZ,False,other,Not fleeing,Guns
3030,2017-10-11,shot,unarmed,44.0,M,Hispanic,Valdez,CO,False,attack,Foot,Unarmed
3029,2017-10-12,shot,gun,35.0,M,Black,Homewood,AL,True,attack,Foot,Guns
3031,2017-10-12,shot,gun,29.0,M,White,Flagstaff,AZ,True,attack,Not fleeing,Guns
3036,2017-10-13,shot,gun,57.0,M,White,Wayne County,KY,False,attack,Not fleeing,Guns
3037,2017-10-13,shot,gun,42.0,M,Black,Charlottesville,VA,False,attack,Foot,Guns
3035,2017-10-14,shot,unknown,44.0,M,Hispanic,Torrance,CA,False,other,Car,Unknown
3034,2017-10-16,shot,gun,20.0,M,Black,Baltimore,MD,False,other,Foot,Guns
3039,2017-10-16,shot,gun,32.0,M,White,Simpsonville,SC,False,attack,Not fleeing,Guns
3041,2017-10-16,shot,gun,34.0,M,Hispanic,Picture Rocks,AZ,False,other,Not fleeing,Guns
3042,2017-10-16,shot,gun,18.0,M,Hispanic,Atwater,CA,False,attack,Not fleeing,Guns
3040,2017-10-16,shot and Tasered,gun,31.0,M,White,Kingwood,TX,False,attack,Car,Guns
3043,2017-10-17,shot,unknown,24.0,M,Black,Hampton,VA,False,other,Not fleeing,Unknown
3044,2017-10-18,shot,gun,35.0,M,White,Tucson,AZ,False,attack,Foot,Guns
3045,2017-10-19,shot,gun,34.0,M,White,Clearwater,FL,True,other,Not fleeing,Guns
3047,2017-10-19,shot,gun,26.0,M,White,Kings Mountain,NC,False,attack,Other,Guns
3050,2017-10-19,shot,unarmed,55.0,M,Black,Corpus Christi,TX,False,attack,Foot,Unarmed
3049,2017-10-19,shot and Tasered,gun,38.0,M,White,Birmingham,AL,False,other,Not fleeing,Guns
3048,2017-10-20,shot,gun,23.0,M,Black,Moraine,OH,True,attack,Not fleeing,Guns
3052,2017-10-20,shot,knife,30.0,M,White,Fort Smith,OK,False,attack,Not fleeing,Sharp objects
3053,2017-10-21,shot,hammer,44.0,M,Hispanic,Cloverdale,CA,False,other,Not fleeing,Blunt instruments
3054,2017-10-21,shot,gun,37.0,M,White,Girard,OH,False,attack,Not fleeing,Guns
3055,2017-10-22,shot,unarmed,27.0,M,Hispanic,Ceres,CA,False,other,Car,Unarmed
3058,2017-10-22,shot,gun,43.0,M,Native,Sparks,NV,False,attack,Not fleeing,Guns
3059,2017-10-22,shot,gun,25.0,F,White,St. Joseph,MO,False,attack,Foot,Guns
